X,Y,OBJECTID,BLOCK_NAME,ZIP_CODE,YEAR,COMMENTS,DATA_SOURCE
-75.1322550306883,39.9918846161293,1275,2700 Block of WATERLOO ST,19133,2018,,2018 Playstreets Program
-75.1458755861428,39.9938856649733,1276,2700 Block of N 9TH ST,19133,2018,,2018 Playstreets Program
-75.1486301229959,40.0081015067334,1277,3600 Block of N CAMAC ST,19140,2018,,2018 Playstreets Program
-75.1468377265907,40.0078721461179,1278,3600 Block of N MARVINE ST,19140,2018,,2018 Playstreets Program
-75.2227810436335,39.9385197317423,1279,5400 Block of REGENT ST,19143,2018,,2018 Playstreets Program
-75.2214062093381,39.9376986130211,1280,1600 Block of S YEWDALL ST,19143,2018,,2018 Playstreets Program
-75.2253603151733,39.9389075476412,1281,1400 Block of S VOGDES ST,19143,2018,,2018 Playstreets Program
-75.1450644009377,39.9951234747861,1282,2800 Block of N DARIEN ST,19133,2018,,2018 Playstreets Program
-75.1454336843048,39.9935868209195,1283,2700 Block of N DARIEN ST,19133,2018,,2018 Playstreets Program
-75.1482857515753,40.0125177964675,1284,3900 Block of N 13TH ST,19140,2018,,2018 Playstreets Program
-75.2270156114822,39.9358283460003,1285,1900 Block of S ALDEN ST,19143,2018,,2018 Playstreets Program
-75.2256826564674,39.9346991590204,1286,2000 Block of S ALDEN ST,19143,2018,,2018 Playstreets Program
-75.1435094913821,39.9901218568342,1287,2500 Block of N MARSHALL ST,19133,2018,,2018 Playstreets Program
-75.1391506047585,40.0100962768991,1288,3800 Block of N MARSHALL ST,19140,2018,,2018 Playstreets Program
-75.2174792695659,39.936519698899,1289,1700 Block of S RUBY ST,19143,2018,,2018 Playstreets Program
-75.1319393314507,39.9886233311546,1290,2500 Block of HOPE ST,19133,2018,,2018 Playstreets Program
-75.1439598564366,39.9949798576717,1291,2800 Block of N FRANKLIN ST,19133,2018,,2018 Playstreets Program
-75.1408457247047,39.9938079990164,1292,500 Block of W SOMERSET ST,19133,2018,,2018 Playstreets Program
-75.1507806812682,39.9973438709996,1293,2900 Block of N CAMAC ST,19133,2018,,2018 Playstreets Program
-75.1398344842491,40.0069707408515,1294,3600 Block of N MARSHALL ST,19140,2018,,2018 Playstreets Program
-75.1435381458327,40.0074448829336,1295,3600 Block of N PERCY ST,19140,2018,,2018 Playstreets Program
-75.1476065740548,39.9982542537282,1296,3000 Block of N WARNOCK ST,19133,2018,,2018 Playstreets Program
-75.2283761817341,39.9432419559907,1297,5400 Block of PENTRIDGE ST,19143,2018,,2018 Playstreets Program
-75.1386813100956,39.9879670150593,1298,2400 Block of N ORIANNA ST,19133,2018,,2018 Playstreets Program
-75.1448302235148,39.9963376606194,1299,800 Block of W BIRCH ST,19133,2018,,2018 Playstreets Program
-75.1366829936701,40.0113220811327,1300,3900 Block of N REESE ST,19140,2018,,2018 Playstreets Program
-75.229774976526,39.9444143732471,1301,5400 Block of MALCOLM ST,19143,2018,,2018 Playstreets Program
-75.1410977924823,40.0134293399217,1302,4000 Block of N DARIEN ST,19140,2018,,2018 Playstreets Program
-75.1407675303956,40.0149582842733,1303,4100 Block of N DARIEN ST,19140,2018,,2018 Playstreets Program
-75.2348845105983,39.9448339344928,1304,1000 Block of S ITHAN ST,19143,2018,,2018 Playstreets Program
-75.1471553323584,39.9909133798254,1305,2500 Block of N HUTCHINSON ST,19133,2018,,2018 Playstreets Program
-75.1384936631829,40.0130913076513,1306,4000 Block of N MARSHALL ST,19140,2018,,2018 Playstreets Program
-75.142964582889,40.012123239942,1307,3900 Block of N DELHI ST,19140,2018,,2018 Playstreets Program
-75.2242092836152,39.9357337403316,1308,1900 Block of S ITHAN ST,19143,2018,,2018 Playstreets Program
-75.2342686031585,39.9183618354995,1309,2500 Block of CARROLL ST,19142,2018,,2018 Playstreets Program
-75.2331878024064,39.9191215384797,1310,2500 Block of HOBSON ST,19142,2018,,2018 Playstreets Program
-75.2333960812409,39.9168174164764,1311,2600 Block of MASSEY ST,19142,2018,,2018 Playstreets Program
-75.2227636875641,39.9427338130201,1312,1100 Block of S WILTON ST,19143,2018,,2018 Playstreets Program
-75.2200268085286,39.940744967916,1313,1300 Block of S WILTON ST,19143,2018,,2018 Playstreets Program
-75.2252479797729,39.9448362895474,1314,5200 Block of PENTRIDGE ST,19143,2018,,2018 Playstreets Program
-75.2308334214229,39.9530933433989,1315,5400 Block of ADDISON ST,19143,2018,,2018 Playstreets Program
-75.2151741029118,39.9400398061537,1316,1300 Block of DIVINITY ST,19143,2018,,2018 Playstreets Program
-75.2333480764149,39.9237954634444,1317,6500 Block of LINMORE AVE,19142,2018,,2018 Playstreets Program
-75.2345158148291,39.92477220913,1318,6500 Block of SAYBROOK AVE,19142,2018,,2018 Playstreets Program
-75.2195197085131,39.9347006473953,1319,1800 Block of S 55TH ST,19143,2018,,2018 Playstreets Program
-75.2416113100922,39.9195257567395,1320,7000 Block of SAYBROOK AVE,19142,2018,,2018 Playstreets Program
-75.2368093239127,39.9228986504988,1321,2200 Block of BONNAFFON ST,19142,2018,,2018 Playstreets Program
-75.239305854319,39.9230531005048,1322,6800 Block of YOCUM ST,19142,2018,,2018 Playstreets Program
-75.2376175442218,39.9528465624765,1323,5700 Block of HAZEL AVE,19143,2018,,2018 Playstreets Program
-75.2405315399001,39.9485268786005,1324,5800 Block of MONTROSE ST,19143,2018,,2018 Playstreets Program
-75.2315134821921,39.9241482903383,1325,6400 Block of GLENMORE AVE,19142,2018,,2018 Playstreets Program
-75.2429925559703,39.9561471755469,1326,6000 Block of DELANCEY ST,19143,2018,,2018 Playstreets Program
