X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.1431421791224,40.0100163071657,77,Butler and Percy Play Lot,UNKNOWN,2023/09/15 00:00:00+00, Renovated in September 2023,Nearmap 2023
-75.1573444835365,40.0612369571705,78,William B Simons Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.0026566776449,40.0523899994513,79,George Jacobs Playground,2_5_YEARS,2023/09/01 00:00:00+00, ,"Nearmap 2023; Capital drawings 2023"
-75.0040367943062,40.0490939818252,80,Ronald Trumbette Playground,5_12_YEARS,, ,Nearmap 2023
-75.1749578466637,40.0019435984111,81,James Allen Shuler Playground,5_12_YEARS,, ,Nearmap 2023
-75.1457660148154,39.9347069451759,82,Shot Tower Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1551059844579,39.933057876571,83,Gold Star Park,5_12_YEARS,2020/11/01 00:00:00+00, ,Nearmap 2023
-75.211749047595,40.0291131592615,84,W Freeland Kendrick Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1511304758224,39.9334925563513,85,Solomon Sacks Playground,UNKNOWN,, ,Nearmap 2023
-75.0545143777444,40.0187961211056,86,American Legion Playground,5_12_YEARS,2016/01/01 00:00:00+00, ,Nearmap 2023
-75.167570888799,39.9654544812566,87,Roberto Clemente Playground,5_12_YEARS,2011/01/01 00:00:00+00, ,Nearmap 2023
-75.2341923618031,39.9673634486086,88,Haddington-Marshall L Shepard Sr Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1495009148508,39.9288170210963,89,Karen Donnelly Park,UNKNOWN,, ,Nearmap 2023
-75.1312114936674,40.043133541381,90,Fisher Park,5_12_YEARS,, ,Nearmap 2023
-75.1359639178074,40.0313348780671,91,John L Barrett Playground,5_12_YEARS,, ,Nearmap 2023
-75.2311053071567,40.0686441379798,92,Samuel F Houston Playground,5_12_YEARS,, ,Nearmap 2023
-75.1785300208685,39.9780400421786,93,Athletic Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1741621467083,40.0058186354273,94,Etting Park,UNKNOWN,, ,Nearmap 2023
-75.2495527632217,39.9513533949536,95,Rufus O Williams Memorial Playground,5_12_YEARS,2022/07/22 00:00:00+00,Installed during 2022 renovations,"Nearmap 2023; Capital drawings 2023"
-75.147349552973,39.9831347568495,96,8th and Diamond Playground,5_12_YEARS,2021/07/01 00:00:00+00,Installed 2020-2021 (Rebuild),Nearmap 2023
-75.2374880600354,39.9467548991874,97,Sherwood Park,UNKNOWN,, ,Nearmap 2023
-75.2259563561277,39.9526244917349,98,Malcolm X Memorial Park,UNKNOWN,, ,Nearmap 2023
-75.1833438181184,39.9482135598272,99,William H (Billy) Markward Memorial Playground,5_12_YEARS,2017/01/01 00:00:00+00, ,Nearmap 2023
-75.08159351372,40.0410020071412,100,Seymour Tarken Recreation Center,2_5_YEARS,2022/12/01 00:00:00+00,Site Renovated Fall 2021.,Nearmap 2023
-75.0212468418741,40.0438188979255,101,Frankford and Solly Playground,UNKNOWN,, ,Nearmap 2023
-75.1708850664853,39.9145694221987,102,Marconi Plaza,5_12_YEARS,,On the Southeast Side,Nearmap 2023
-75.1563397944911,40.0425788334015,103,Belfield Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1506910613884,39.9210933840219,104,Reverend Edward P Burke Playground,5_12_YEARS,, ,Nearmap 2023
-75.1178235369123,39.9814409680239,105,Frederick Cione Playground,5_12_YEARS,2016/01/01 00:00:00+00, ,Nearmap 2023
-75.1791876762697,40.0474895941157,106,Daniel E Rumph II Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1798659456073,39.9980909939079,107,29th and Chalmers Playground,5_12_YEARS,2010/01/01 00:00:00+00, ,Nearmap 2023
-75.2006342662934,40.0759272772301,108,Water Tower Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.2479781542053,39.9588493804311,109,Johnny Sample Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1104384690301,40.0339834553939,110,Garland and Bingham Fields,5_12_YEARS,, ,Nearmap 2023
-75.2034463173004,40.0225453670263,111,David P Montgomery Field,5_12_YEARS,, ,Nearmap 2023
-75.188211702046,40.0577461474029,112,Mount Airy Playground,5_12_YEARS,, ,Nearmap 2023
-75.073318113476,40.011080460187,113,Carmella A DiTizio Playground,5_12_YEARS,2020/08/01 00:00:00+00,Installed during renoations 8/2021,Nearmap 2023
-75.2408492617337,39.9820701805294,114,Ernest L Tustin Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1773495785502,39.9036145695331,115,Franklin Delano Roosevelt Park,2_5_YEARS,, ,Nearmap 2023
-75.2207831700617,40.02541799162,116,Pretzel Park,5_12_YEARS,2019/03/01 00:00:00+00, ,Nearmap 2023
-75.1635534939411,39.9385552111124,117,Hawthorne Cultural Center,5_12_YEARS,, ,Nearmap 2023
-75.228103462482,40.0416878010287,118,Joseph V Kelly Memorial Playground,5_12_YEARS,, ,Nearmap 2023
-75.221378788757,39.9537590629828,119,Ben Barkan Park,UNKNOWN,, ,Nearmap 2023
-75.1596927083079,40.0500333310874,120,Lonnie Young Recreation Center of East Germantown,5_12_YEARS,, ,Nearmap 2023
-75.138068629626,39.9891608415226,121,Frank S Nelson Jr Memorial Recreation Center,5_12_YEARS,2020/01/01 00:00:00+00,Installed between 2019-2020.,Nearmap 2023
-75.0765099095515,40.0565918415784,122,Thomas E Jardel Memorial Field,2_5_YEARS,, ,Nearmap 2023
-75.2459833616506,39.9434896194243,123,Robert Wilson III Park,UNKNOWN,, ,Nearmap 2023
-75.1612627455721,40.0063895790837,124,Jerome Brown Playground,5_12_YEARS,, ,Nearmap 2023
-75.1807340431848,40.0254497022063,125,Cloverly Park,UNKNOWN,, ,Nearmap 2023
-75.178602773431,39.9153480576142,126,Commodore John Barry Playground,5_12_YEARS,, ,Nearmap 2023
-75.1232195501238,40.0493906622862,127,Helen G Sturgis Playground,5_12_YEARS,, ,Nearmap 2023
-75.1875942754625,40.0087951186384,128,Harry S McDevitt Playground,5_12_YEARS,2013/01/01 00:00:00+00, ,Nearmap 2023
-75.1329399087626,39.991690296768,129,Gerald J Maguire Playground,UNKNOWN,, ,Nearmap 2023
-75.2117561550469,39.9561528692229,130,45th and Sansom Tot Lot,2_5_YEARS,, ,Nearmap 2023
-75.043977836472,40.028090785473,131,Disston Recreation Center,2_5_YEARS,2019/11/01 00:00:00+00,Installed during 2019/2020 renovations,Nearmap 2023
-75.2291321971892,40.034025931778,132,Lonnie Cohen Recreation Center,5_12_YEARS,,Next to Recreation Center,Nearmap 2023
-75.1741025199703,39.9379305689498,133,Charles H Chew Playground,5_12_YEARS,, ,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1236885881551,39.9840362238567,134,Black Coyle and McBride Playground,5_12_YEARS,2022/12/01 00:00:00+00,Site Renovated Fall 2021.,Nearmap 2023
-75.1714469473726,39.9420291560831,135,Marian Anderson Recreation Center,5_12_YEARS,2018/01/01 00:00:00+00, ,Nearmap 2023
-75.2062848190461,39.9992943418943,136,Ford Road Playground,2_12_YEARS,,West Fairmount Park,Nearmap 2023
-75.1495903752684,39.9969024345408,137,12th and Cambria Playground,5_12_YEARS,2011/01/01 00:00:00+00, ,Nearmap 2023
-75.0612426039966,40.0292537666661,138,Lower Mayfair Playground,5_12_YEARS,, ,Nearmap 2023
-75.1372773906485,39.96706360172,139,Tip Top Playground,5_12_YEARS,, ,Nearmap 2023
-75.1842671314907,39.9793496198613,140,Howard McCall Sr Playground,5_12_YEARS,, ,Nearmap 2023
-75.1181466672171,39.9765542437203,141,Webb Street Play Lot,2_5_YEARS,, ,Nearmap 2023
-75.1690436629788,40.0455495557289,142,Waterview Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.2204737415892,40.0367469178669,143,Susan Gorgas Park,5_12_YEARS,, ,Nearmap 2023
-75.1869017997817,39.9948660982055,144,Strawberry Mansion Playground,UNKNOWN,, ,Nearmap 2023
-75.1322727630713,39.9774530717781,145,Dan Shissler Recreation Center,2_5_YEARS,, ,Nearmap 2023
-75.2009696876699,39.9658420435071,146,Norman (Butch) Ellis Playground,5_12_YEARS,, ,Nearmap 2023
-75.0886676067297,40.0170665537836,147,Overington Park,5_12_YEARS,, ,Nearmap 2023
-75.1598083149051,39.9437990665584,148,Charles T Mitchell Jr (Seger) Park,5_12_YEARS,2012/01/01 00:00:00+00,"Building is named for Charles Seger (1977); Site is named for Charles T Mitchell Jr (1976).",Nearmap 2023
-75.1828402059283,39.9359550693686,149,Wharton Square,5_12_YEARS,2014/01/01 00:00:00+00, ,Nearmap 2023
-74.9720366599354,40.096416849212,150,Eileen Fitzpatrick Playground,5_12_YEARS,2022/09/23 00:00:00+00, ,Nearmap 2023
-75.1799047456167,40.0332677956458,151,Price Street Play Lot,2_5_YEARS,, ,Nearmap 2023
-75.0243258347878,40.0482137648259,152,James J Ramp Playground,5_12_YEARS,, ,Nearmap 2023
-75.1725965151147,39.923237444394,153,Thomas I Guerin Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1693724143273,40.0200867215188,154,Fernhill Park,5_12_YEARS,, ,Nearmap 2023
-75.1467188369523,40.0509200085287,155,Morris Estate Cultural Center,5_12_YEARS,, ,Nearmap 2023
