objectid,park_name,site_number,table_count,permittable,comments,data_source,lat,lng
19,Fernhill Park,3,3,Y,Under trees,"2017 Field Collection; Nearmap 2023",40.019295688905935,-75.1695521656841
20,Blue Bell Park,3,3,Y,Wissahickon Valley Park,Nearmap 2023,40.032008210018965,-75.19581689424368
21,Blue Bell Park,2,3,Y,Wissahickon Valley Park,"Nearmap 2023;Permittable Spaces",40.031542629531685,-75.1954070874608
22,Blue Bell Park,1,3,Y,Wissahickon Valley Park - Blue Bell Pavilion,Nearmap 2023,40.03122566614615,-75.19524846931101
23,Blue Bell Park,4,3,Y,Wissahickon Valley Park,Nearmap 2023,40.030715951889235,-75.19494779212663
24,Blue Bell Park,5,3,Y,Wissahickon Valley Park,Nearmap 2023,40.030592482013766,-75.19522365835415
25,Blue Bell Park,6,3,Y,Wissahickon Valley Park,Nearmap 2023,40.030404387640516,-75.1951223304549
26,David P Montgomery Field,1,2,Y, ,Nearmap 2023,40.022083218154435,-75.20333762812562
27,Salvatore Pachella Memorial Field,1,4,Y,"Under the pavilion; Located in Wissahickon Valley Park.",Nearmap 2023,40.04579846856052,-75.21587505944953
28,Wissahickon Valley Park,0,5,N,Valley Green Inn,Nearmap 2023,40.05345916649147,-75.21770135432514
29,Wissahickon Valley Park,2,2,Y,"N of Wises Mill Rd, along Forbidden Drive.",Nearmap 2023,40.05887518223775,-75.2204400102079
30,Wissahickon Valley Park,0,2,N,N of Rex Avenue Shelter,Nearmap 2021,40.06640700959495,-75.22068723549285
31,Wissahickon Valley Park,0,1,N,S of Thomas Mill Road Comfort Station,Nearmap 2022,40.071299073198034,-75.22462052314825
32,Wissahickon Valley Park,0,1,N,N of Thomas Mill Dr,Nearmap 2022,40.07308389503201,-75.22474199642845
161,Cecil B Moore Recreation Center,0,1,N, ,Nearmap 2023,39.994177524733615,-75.16769781572
162,Corporal Jimmy OConnor Memorial Playground,0,2,N,Formerly Chalfont Playground,Nearmap 2023,40.07949123459234,-74.97462204457177
163,Charles H Chew Playground,0,2,N, ,Nearmap 2023,39.93781769198442,-75.17401701976061
164,Clarence H Clark Park,0,12,N,"Count can change, since tables are not fixed.",Nearmap 2023,39.94898035173633,-75.20984765786655
165,Clayborne and Lewis Playground,0,4,N, ,Nearmap 2023,39.973644914969555,-75.1990185783011
166,Cloverly Park,0,1,N, ,Nearmap 2023,40.02555107989831,-75.18072724702449
167,Jose Manuel Collazo Park,0,2,N, ,Nearmap 2023,39.99958275455475,-75.1304966947294
